,x,y,t
0,1,0.02379801269026885,0.0010869503021240234
1,2,0.02379801269026885,0.0011255741119384766
2,3,0.9700159187339057,0.0011584758758544922
3,4,0.9700159187339057,0.0011897087097167969
4,5,0.9700159187339057,0.0012195110321044922
5,6,0.9700159187339057,0.001249551773071289
6,7,0.9700159187339057,0.0012791156768798828
7,8,0.9700159187339057,0.0013086795806884766
8,9,0.9700159187339057,0.0013377666473388672
9,10,0.9700159187339057,0.0013670921325683594
10,11,0.9700159187339057,0.05996990203857422
11,12,0.9700159187339057,0.06002330780029297
12,13,0.9700159187339057,0.060071706771850586
13,14,0.9700159187339057,0.1770925521850586
14,15,0.9700159187339057,0.17714357376098633
15,16,1.3148770304307724,0.17718935012817383
16,17,1.3148770304307724,0.327162504196167
17,18,1.3148770304307724,0.32721662521362305
18,19,1.3148770304307724,0.32726430892944336
19,20,1.3148770304307724,0.4557168483734131
20,21,1.3148770304307724,0.45577192306518555
21,22,1.3148770304307724,0.45582151412963867
22,23,1.3148770304307724,0.6035881042480469
23,24,1.3148770304307724,0.6036436557769775
24,25,1.3148770304307724,0.603691577911377
25,26,1.3148770304307724,0.7451701164245605
26,27,1.3148770304307724,0.7452230453491211
27,28,1.3148770304307724,0.7452704906463623
28,29,1.7169522668700201,0.8807106018066406
29,30,1.7169522668700201,0.8807628154754639
30,31,1.7169522668700201,0.8808095455169678
31,32,1.7169522668700201,1.015151023864746
32,33,1.7169522668700201,1.0151958465576172
33,34,1.7169522668700201,1.0152356624603271
34,35,1.7169522668700201,1.2198350429534912
35,36,1.7169522668700201,1.2198917865753174
36,37,1.7169522668700201,1.2199416160583496
37,38,1.7169522668700201,1.4051625728607178
38,39,1.7169522668700201,1.4052200317382812
39,40,1.7169522668700201,1.4052715301513672
40,41,1.7169522668700201,1.6010208129882812
41,42,1.7169522668700201,1.6010730266571045
42,43,1.7169522668700201,1.601118564605713
43,44,1.7169522668700201,1.7781236171722412
44,45,1.7169522668700201,1.7781791687011719
45,46,1.7169522668700201,1.7782361507415771
46,47,1.7169522668700201,1.9520525932312012
47,48,1.7169522668700201,1.9521102905273438
48,49,1.7169522668700201,1.9521620273590088
49,50,1.7169522668700201,2.189103126525879
50,51,1.7169522668700201,2.192049980163574
51,52,1.7169522668700201,2.1921095848083496
52,53,1.7169522668700201,2.414106845855713
53,54,1.7169522668700201,2.4141623973846436
54,55,1.7169522668700201,2.414217948913574
55,56,1.7169522668700201,2.6107702255249023
56,57,1.7169522668700201,2.61082124710083
57,58,1.7169522668700201,2.610865831375122
58,59,1.7169522668700201,2.8068771362304688
59,60,1.7169522668700201,2.8069286346435547
60,61,1.7169522668700201,2.806973934173584
61,62,1.7169522668700201,2.976879119873047
62,63,1.7169522668700201,2.9769303798675537
63,64,1.7169522668700201,2.976976156234741
64,65,1.7169522668700201,3.22231125831604
65,66,1.7169522668700201,3.222384214401245
66,67,1.7169522668700201,3.2224342823028564
67,68,1.7169522668700201,3.41036319732666
68,69,1.7169522668700201,3.41042160987854
69,70,1.7169522668700201,3.4104738235473633
70,71,1.7169522668700201,3.6244139671325684
71,72,1.7169522668700201,3.624471664428711
72,73,1.7169522668700201,3.6245229244232178
73,74,1.7169522668700201,3.835012674331665
74,75,1.7169522668700201,3.8350682258605957
75,76,1.7169522668700201,3.8351190090179443
76,77,1.7169522668700201,4.024253845214844
77,78,1.7169522668700201,4.024292469024658
78,79,1.7169522668700201,4.024324417114258
79,80,1.7169522668700201,4.113095283508301
80,81,1.7169522668700201,4.113152503967285
81,82,1.7169522668700201,4.113203048706055
82,83,1.7169522668700201,4.217154264450073
83,84,1.7169522668700201,4.217210531234741
84,85,1.7169522668700201,4.217260360717773
85,86,1.7169522668700201,4.317218542098999
86,87,1.7169522668700201,4.317275762557983
87,88,1.7169522668700201,4.317326307296753
88,89,1.7169522668700201,4.544342279434204
89,90,1.7169522668700201,4.544400691986084
90,91,1.7169522668700201,4.544451951980591
91,92,1.7169522668700201,4.757775783538818
92,93,1.7169522668700201,4.757831811904907
93,94,1.7169522668700201,4.757883787155151
94,95,1.7169522668700201,4.8881707191467285
95,96,1.7169522668700201,4.888230323791504
96,97,1.7169522668700201,4.8882834911346436
97,98,1.7169522668700201,5.103832483291626
98,99,1.7169522668700201,5.103884696960449
99,100,1.7169522668700201,5.103932857513428
100,101,1.7169522668700201,5.314965724945068
101,102,2.816319425156035,5.31501841545105
102,103,2.816319425156035,5.315064430236816
103,104,2.816319425156035,5.454820871353149
104,105,2.816319425156035,5.454877853393555
105,106,2.816319425156035,5.454928874969482
106,107,2.816319425156035,5.72109580039978
107,108,2.816319425156035,5.721150875091553
108,109,2.816319425156035,5.7211995124816895
109,110,2.816319425156035,5.863550662994385
110,111,2.816319425156035,5.8636109828948975
111,112,2.816319425156035,5.863664865493774
112,113,2.816319425156035,6.1084885597229
113,114,2.816319425156035,6.108539819717407
114,115,2.816319425156035,6.108584880828857
115,116,2.816319425156035,6.286440849304199
116,117,2.816319425156035,6.286498069763184
117,118,2.816319425156035,6.286548614501953
118,119,2.816319425156035,6.528429269790649
119,120,2.816319425156035,6.5284812450408936
120,121,2.816319425156035,6.528526306152344
121,122,2.816319425156035,6.789562463760376
122,123,2.816319425156035,6.789613246917725
123,124,2.816319425156035,6.789658069610596
124,125,2.816319425156035,6.92008638381958
125,126,2.816319425156035,6.920146226882935
126,127,2.816319425156035,6.9201979637146
127,128,2.816319425156035,7.183598279953003
128,129,2.816319425156035,7.183658123016357
129,130,2.816319425156035,7.183713436126709
130,131,2.816319425156035,7.420533895492554
131,132,2.816319425156035,7.420591115951538
132,133,2.816319425156035,7.420641660690308
133,134,2.816319425156035,7.666264772415161
134,135,2.816319425156035,7.666322231292725
135,136,2.816319425156035,7.666374683380127
136,137,2.816319425156035,7.8686041831970215
137,138,2.816319425156035,7.868661403656006
138,139,2.816319425156035,7.868712425231934
139,140,2.816319425156035,8.186253547668457
140,141,2.816319425156035,8.186306238174438
141,142,2.816319425156035,8.186352729797363
142,143,2.816319425156035,8.339512348175049
143,144,2.816319425156035,8.339570045471191
144,145,2.816319425156035,8.33962106704712
145,146,2.816319425156035,8.588879346847534
146,147,2.816319425156035,8.588932991027832
147,148,2.816319425156035,8.588980197906494
148,149,2.816319425156035,8.827269077301025
149,150,2.816319425156035,8.827331781387329
150,151,2.816319425156035,8.829939365386963
151,152,2.816319425156035,9.085123777389526
152,153,2.816319425156035,9.085176467895508
153,154,2.816319425156035,9.085222959518433
154,155,2.816319425156035,9.354326963424683
155,156,2.816319425156035,9.354379892349243
156,157,2.816319425156035,9.354426383972168
157,158,2.816319425156035,9.615009784698486
158,159,2.816319425156035,9.615061044692993
159,160,2.816319425156035,9.61510705947876
160,161,2.816319425156035,9.884827852249146
161,162,2.816319425156035,9.884880304336548
162,163,2.816319425156035,9.884926795959473
163,164,2.816319425156035,10.147818803787231
164,165,2.816319425156035,10.147878170013428
165,166,2.816319425156035,10.147925853729248
166,167,2.816319425156035,10.449100017547607
167,168,2.816319425156035,10.449157953262329
168,169,2.816319425156035,10.449209690093994
169,170,2.816319425156035,10.728790760040283
170,171,2.816319425156035,10.728850603103638
171,172,2.816319425156035,10.728903532028198
172,173,2.816319425156035,10.929742813110352
173,174,2.816319425156035,10.929805278778076
174,175,2.816319425156035,10.929858684539795
175,176,2.816319425156035,11.153086185455322
176,177,2.816319425156035,11.153143882751465
177,178,2.816319425156035,11.15319561958313
178,179,2.816319425156035,11.404851913452148
179,180,2.816319425156035,11.404911041259766
180,181,2.816319425156035,11.404963493347168
181,182,2.816319425156035,11.726261854171753
182,183,2.816319425156035,11.726323127746582
