,x,y,t
0,1,0.1335666821642293,0.0015592575073242188
1,2,0.1335666821642293,0.0016908645629882812
2,3,0.1335666821642293,0.001813650131225586
3,4,0.1335666821642293,0.002791881561279297
4,5,0.638997502822928,0.0029151439666748047
5,6,0.638997502822928,0.0030355453491210938
6,7,1.1674304122282944,0.003991365432739258
7,8,1.1674304122282944,0.004114866256713867
8,9,1.1674304122282944,0.0042345523834228516
9,10,1.1674304122282944,0.005190372467041016
10,11,1.1674304122282944,0.005312919616699219
11,12,1.1674304122282944,0.0054318904876708984
12,13,1.1674304122282944,0.06991291046142578
13,14,1.1674304122282944,0.07320070266723633
14,15,1.1674304122282944,0.07650589942932129
15,16,1.1674304122282944,0.12424445152282715
16,17,1.232677018313643,0.1271665096282959
17,18,1.232677018313643,0.13003253936767578
18,19,1.232677018313643,0.17797565460205078
19,20,1.232677018313643,0.18076729774475098
20,21,1.232677018313643,0.18366289138793945
21,22,1.232677018313643,0.24686837196350098
22,23,1.232677018313643,0.2496781349182129
23,24,1.232677018313643,0.2523922920227051
24,25,1.232677018313643,0.3606884479522705
25,26,1.232677018313643,0.36468029022216797
26,27,1.232677018313643,0.3787660598754883
27,28,1.232677018313643,0.43726325035095215
28,29,1.232677018313643,0.44118475914001465
29,30,1.232677018313643,0.4546623229980469
30,31,1.232677018313643,0.5190672874450684
31,32,1.232677018313643,0.5225927829742432
32,33,1.232677018313643,0.5372138023376465
33,34,1.232677018313643,0.599320650100708
34,35,1.232677018313643,0.6029644012451172
35,36,1.232677018313643,0.6174774169921875
36,37,2.4994069716639915,0.7530193328857422
37,38,2.4994069716639915,0.7572667598724365
38,39,2.4994069716639915,0.7717278003692627
39,40,2.4994069716639915,0.84372878074646
40,41,2.4994069716639915,0.8477020263671875
41,42,2.4994069716639915,0.862725019454956
42,43,2.4994069716639915,1.0461008548736572
43,44,2.4994069716639915,1.0499334335327148
44,45,2.4994069716639915,1.070221185684204
45,46,2.4994069716639915,1.2685632705688477
46,47,2.4994069716639915,1.2723560333251953
47,48,2.4994069716639915,1.2761259078979492
48,49,2.4994069716639915,1.5087661743164062
49,50,2.4994069716639915,1.513085126876831
